2021-07-12 15:30:24.605 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.606 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.607 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.608 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.663 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.664 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.665 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.665 interchange:577 [DEBUG]  [MAIN] entering results_incoming section
2021-07-12 15:30:24.666 interchange:582 [DEBUG]  [MAIN] Got 3 result items in batch
2021-07-12 15:30:24.667 interchange:616 [DEBUG]  [MAIN] Current tasks: []
2021-07-12 15:30:24.668 interchange:619 [DEBUG]  [MAIN] leaving results_incoming section
2021-07-12 15:30:24.669 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.675 interchange:319 [DEBUG]  [TASK_PULL_THREAD] Fetched task:4
2021-07-12 15:30:24.681 interchange:319 [DEBUG]  [TASK_PULL_THREAD] Fetched task:5
2021-07-12 15:30:24.737 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.738 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.740 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.741 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.742 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.744 interchange:562 [DEBUG]  [MAIN] Sent tasks: [4, 5] to manager b'a8545c954685'
2021-07-12 15:30:24.745 interchange:564 [DEBUG]  [MAIN] Manager b'a8545c954685' has free_capacity 2
2021-07-12 15:30:24.746 interchange:572 [DEBUG]  [MAIN] leaving _ready_manager_queue section, with 2 managers still interesting
2021-07-12 15:30:24.747 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.751 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.752 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.753 interchange:526 [DEBUG]  [MAIN] Manager b'a8545c954685' requested 4 tasks
2021-07-12 15:30:24.754 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.755 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.756 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.757 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.759 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.760 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.761 interchange:526 [DEBUG]  [MAIN] Manager b'a8545c954685' requested 4 tasks
2021-07-12 15:30:24.762 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.764 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.766 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.767 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.794 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.795 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.796 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.797 interchange:577 [DEBUG]  [MAIN] entering results_incoming section
2021-07-12 15:30:24.798 interchange:582 [DEBUG]  [MAIN] Got 4 result items in batch
